"id","language","code_639_1","code_639_3"
"1","Afrikaans","af","afr"
"2","Albanees","sq","sqi"
"3","Arabisch","ar","ara"
"4","Armeens","hy","hye"
"5","Azerbeidzjaans","az","aze"
"6","Baskisch","eu","eus"
"7","Bengaals","bn","ben"
"8","Birmaans, Birmees","my","mya"
"9","Bosnisch","bs","bos"
"10","Bulgaars","bg","bul"
"11","Catalaans","ca","cat"
"12","Corsicaans","co","cos"
"13","Deens","da","dan"
"14","Duits","de","deu"
"15","Engels","en","eng"
"16","Esperanto","eo","epo"
"17","Estisch","et","est"
"18","Fins","fi","fin"
"19","Frans","fr","fra"
"20","Galicisch","gl","glg"
"21","Georgisch","ka","kat"
"22","Grieks","el","ell"
"23","Groenlands","kl","kal"
"24","Hebreeuws","he","heb"
"25","Hindi","hi","hin"
"26","Hongaars","hu","hun"
"27","Iers","ga","gle"
"28","IJslands","is","isl"
"29","Indonesisch","id","ind"
"30","Italiaans","it","ita"
"31","Japans","ja","jpn"
"32","Kazachs","kk","kaz"
"33","Kirgizisch","ky","kir"
"34","Koerdisch","ku","kur"
"35","Koreaans","ko","kor"
"36","Kroatisch","hr","hrv"
"37","Latijn","la","lat"
"38","Lets","lv","lav"
"39","Litouws","lt","lit"
"40","Maleis","ms","msa"
"41","Maltees","mt","mlt"
"42","Moldavisch","mo","mol"
"43","Mongools","mn","mon"
"44","Nederlands","nl","nld"
"45","Nepalees","ne","nep"
"46","Noors","no","nor"
"47","Oekraïens","uk","ukr"
"48","Oezbeeks","uz","uzb"
"49","Perzisch (Farsi)","fa","fas"
"50","Pools","pl","pol"
"51","Portugees","pt","por"
"52","Roemeens","ro","ron"
"53","Russisch","ru","rus"
"54","Servisch","sr","srp"
"55","Sloveens","sl","slv"
"56","Slowaaks","sk","slk"
"57","Somalisch","so","som"
"58","Spaans","es","spa"
"59","Thai","th","tha"
"60","Tibetaans","bo","bod"
"61","Tsjechisch","cs","ces"
"62","Tsjetsjeens","ce","che"
"63","Turks","tr","tur"
"64","Welsh","cy","cym"
"65","Wit-Russisch","be","bel"
"66","Zweeds","sv","swe"
